x,Curve1,Curve2
-9.699,0.383,0.0359
-7.151,1.1506,0.0618
-6.581,1.311,0.0532
-4.603,1.8815,0.0379
-2.422,2.6857,0.1641
-2.191,2.7808,0.1987
-0.424,3.5265,0.7351
0.354,3.8542,1.1491
1.028,4.148,1.5636
1.801,4.5025,2.0266
2.842,4.9889,2.5391
3.615,5.3481,2.8674
4.656,5.8297,3.258
5.797,6.3588,3.6351
6.471,6.6706,3.8433
8.285,7.5114,4.3848
8.345,7.5397,4.4026
10.099,8.3522,4.8976
10.165,8.3807,4.9143
12.097,9.1565,5.377
13.081,9.551,5.6086
14.458,10.1069,5.9373
15.996,10.6933,6.303
16.639,10.9111,6.4523
19.095,11.6521,6.9607
19.187,11.6787,6.9772
20.826,12.1173,7.2425
22.745,12.5638,7.5086
23.925,12.8116,7.6578
26.764,13.2785,7.9467
27.392,13.3595,7.9928
31.153,13.7044,8.1653
31.595,13.7244,8.1776
35.545,13.6789,8.201
35.989,13.6504,8.1915
40.025,13.2108,7.9886
40.126,13.1965,7.9807
43.514,12.6249,7.6274
44.161,12.4866,7.5411
46.456,11.9295,7.1933
47.649,11.6261,6.9918
49.216,11.1975,6.7123
50.956,10.6453,6.3694
51.61,10.4289,6.227
53.268,9.88,5.8328
53.898,9.6417,5.6739
55.297,9.075,5.3111
56.658,8.5082,4.9419
57.327,8.2334,4.7531
58.249,7.8675,4.4819
59.236,7.4249,4.1734
60.096,7.026,3.8829
61.448,6.397,3.3683
61.942,6.1844,3.1562
63.294,5.6714,2.5268
64.155,5.3794,2.1121
64.958,5.121,1.6853
66.549,4.6109,0.8687
66.622,4.5863,0.8438
68.208,3.9888,0.4527
69.928,3.3115,0.2214
70.237,3.1838,0.1952
72.267,2.3422,0.1008
74.324,1.6054,0.0742
74.479,1.5372,0.073
75.777,0.6591,0.0593
