x,Curve1
0.0557,14.5322
1.565,14.5623
3.0126,14.4481
4.4601,14.3338
5.1231,14.2405
6.5091,14.006
7.3525,13.8414
8.6173,13.5585
9.821,13.2033
10.964,12.8239
11.9859,12.3959
13.0075,11.944
13.9081,11.4676
14.8088,10.9912
15.7094,10.5148
16.7293,9.8949
17.509,9.394
18.2887,8.8932
19.0681,8.3683
19.8475,7.8434
20.087,7.6523
20.8061,7.1272
21.5252,6.6021
22.3635,5.9335
23.0826,5.4083
23.7413,4.883
24.4603,4.3578
25.0594,3.9042
25.7785,3.3791
26.5581,2.8782
27.2772,2.3531
27.8753,1.8035
28.7759,1.3271
29.3137,0.7773
